id,title,use_ide,environment,description,is_beta,is_template_based,results,stages_count,n_first_prerequisites,n_last_prerequisites,language,is_deprecated,progress_id,readiness,lesson_stepik_id,preview_step,ide_files,stages_ids,url,tracks
109,Simple Banking System,True,,"Everything goes digital these days, and so does money. Today, most people have credit cards, which save us time, energy and nerves. From not having to carry a wallet full of cash to consumer protection, cards make our lives easier in many ways. In this project, you will develop a simple banking system with database.",False,False,"In this project, you will find out how the banking system works and learn about SQL. We'll also see how Luhn algorithm can help us avoid mistakes when entering the card number. As an overall result, you'll get new experience in Python.",4,36,52,python,False,29-109,4,361994,,https://stepik.org/media/attachments/lesson/361994/additional_files.json,"[591, 592, 593, 594]",https://hyperskill.org/projects/109,{}
175,Bill Splitter,True,,"Everyone likes eating out with friends. The more friends, the better, but the bill time is always a bummer, to say the least. Why not develop a tool to keep the fun alive and make sure that everyone pays an equal amount.",False,False,Work on your Python basics and take a look at more advanced data structures such as dictionaries. Develop an app for managing expenses during your next dine-out.,4,24,37,python,False,29-175,4,517618,,https://stepik.org/media/attachments/lesson/517618/additional_files.json,"[901, 902, 903, 904]",https://hyperskill.org/projects/175,"{'2': {'level': 'easy', 'kind': 'auto'}, '10': {'level': 'medium', 'kind': 'auto'}}"
157,Currency Converter,True,,Want to convert one currency to another? You can go to your bank website and do the math by yourself. Or you can write a program to do it quickly and efficiently! The Currency Converter is a simple console program that calculates the amount of money you get by converting one currency to another.,False,False,"You will learn many concepts of Python — basic types, variables, arithmetic operations, loops, and working with files. Get a taste of more advanced features — JSON format, caching, and how to work with the network. You will write a currency converter program that uses a third-party service.",6,2,43,python,False,29-157,4,479456,,https://stepik.org/media/attachments/lesson/479456/additional_files.json,"[817, 818, 819, 820, 821, 822]",https://hyperskill.org/projects/157,"{'2': {'level': 'medium', 'kind': 'auto'}, '10': {'level': 'medium', 'kind': 'auto'}, '11': {'level': 'easy', 'kind': 'auto'}, '29': {'level': 'easy', 'kind': 'auto'}}"
195,Linear Regression from Scratch,True,,<p>Linear relationship estimation is probably the first kind of modeling we come across at schools. Linear regression is one of the most popular methods for estimating linear relationships and one of the most popular machine learning algorithms. This project explains how the linear regression algorithm works. These basics will help you with model interpretation and debugging if you want to fit and predict with linear models.</p>,False,False,"<p>Learn how to implement the linear regression algorithm with a Python class, methods, functions, and the Numpy library. Learn about linear algebra and matrix operations. Implement a fit, prediction, and score method; get the model&rsquo;s intercept and coefficients, fit models without intercepts. Compare how well your model performs against the Scikit-Learn Linear Regression algorithm.</p>",4,85,89,python,False,29-195,4,557044,,https://stepik.org/media/attachments/lesson/557044/additional_files.json,"[971, 972, 973, 974]",https://hyperskill.org/projects/195,"{'28': {'level': 'nightmare', 'kind': 'graduate'}}"
146,Dominoes,True,,"Have you ever wanted to code a game where the computer is your enemy? Well, this little project allows you to do just that.
Take turns playing classic dominoes against your computer in a race to victory.
Learn, how artificial intelligence can make use of simple statistics to make educated decisions. This project is all about basic concepts, put them to practice by making a fun little game.",False,False,"This project is all about basic concepts. You'll work with strings, tuples, lists, conditional statements, and more.",5,33,47,python,False,29-146,4,461107,,https://stepik.org/media/attachments/lesson/461107/additional_files.json,"[786, 787, 788, 789, 790]",https://hyperskill.org/projects/146,"{'2': {'level': 'medium', 'kind': 'auto'}, '10': {'level': 'medium', 'kind': 'auto'}, '11': {'level': 'medium', 'kind': 'auto'}, '28': {'level': 'medium', 'kind': 'auto'}}"
191,Desktop Calculator,True,,"<p>We do calculations daily. You may need to know how much change you&#39;ll have after purchase or how many points your team needs to win the cup. A calculator can do the heavy lifting for us. Have you ever wonder how a calculator works? In this project, you&#39;ll create a full-fledged calculator from scratch that can be run on your computer.</p>",False,False,"<p>Learn how to work with various components in Swing. Find out how to style and position them, explore the math library, master loops, and manipulate strings efficiently.</p>",5,62,105,java,False,29-191,4,545919,,https://stepik.org/media/attachments/lesson/545919/additional_files.json,"[953, 954, 955, 956, 957]",https://hyperskill.org/projects/191,"{'9': {'level': 'nightmare', 'kind': 'graduate'}, '12': {'level': 'hard', 'kind': 'auto'}, '15': {'level': 'hard', 'kind': 'auto'}, '17': {'level': 'hard', 'kind': 'auto'}}"
163,University Admission Procedure,True,,"It takes a lot of hard work to enroll in the university of your dreams. Although, we tend to dismiss how difficult it is for the university to handle the document volume. In this project, you'll deal with university applicants. You'll implement an algorithm to determine which applicants are going to be enrolled. At each stage, the algorithm will gradually become more complex and comprehensive!",False,False,Practice loops and various mathematical operations. Learn how to handle files and different types of collections such as lists (including nested lists) and dictionaries. Put to use the sorting function and see how useful it can be.,7,12,63,python,False,29-163,4,493610,,https://stepik.org/media/attachments/lesson/493610/additional_files.json,"[844, 845, 846, 847, 848, 849, 850]",https://hyperskill.org/projects/163,"{'2': {'level': 'hard', 'kind': 'auto'}, '10': {'level': 'hard', 'kind': 'auto'}}"
162,Markdown Editor,True,,"Markdown is a special plain text formatting language that is extremely popular among developers. It is used in documents, research articles, Github README files, and other things. In this project, you will write an editor that will be able to recognize several tags, structures, and save your results to a file.",False,False,"Practice list operations, file handling, functions, scopes, and a lot of other things. Make a handy and useful tool that uses the markdown language!",5,3,51,python,False,29-162,4,491835,,https://stepik.org/media/attachments/lesson/491835/additional_files.json,"[839, 840, 841, 842, 843]",https://hyperskill.org/projects/162,"{'2': {'level': 'medium', 'kind': 'auto'}, '11': {'level': 'medium', 'kind': 'auto'}}"
190,Basic Calculator,True,android,Do you want to have a custom calculator on your smartphone? Create a basic calculator app and get to know Android Studio better. You will work with a UI and learn how to make your program respond to user actions.,False,False,"Get to know the basics of Android Studio and write a calculator that can carry out simple operations like addition, subtraction, multiplication, and division.",4,58,107,kotlin,False,29-190,4,542202,,https://stepik.org/media/attachments/lesson/542202/additional_files.json,"[949, 950, 951, 952]",https://hyperskill.org/projects/190,"{'16': {'level': 'hard', 'kind': 'graduate'}}"
145,Web Scraper,True,,You will create a function that takes a website address and a number of webpages as input arguments and then goes all over the website saving every news article on the page to a separate .txt file on your computer.,False,False,"After finishing the project, you’ll know how to send HTTP-requests and process the responses, how to work with an external library, library documentation, and how to use it for parsing the website data. You will also find out how to make your program save results to a file with the help of Python.",5,38,57,python,False,29-145,4,455321,,https://stepik.org/media/attachments/lesson/455321/additional_files.json,"[781, 782, 783, 784, 785]",https://hyperskill.org/projects/145,"{'2': {'level': 'medium', 'kind': 'auto'}, '10': {'level': 'hard', 'kind': 'auto'}}"
170,Web Calendar,True,,"Afraid to miss something interesting? Don't worry, you won't! Create an app that will save all your events to the database. You will access the events with the help of REST endpoints.",False,False,You will create a simple REST service with the Flask framework. You will work with a database using the Flask-SQLAlchemy extension and create resources using the Flask-RESTful extension. Learn to use date objects in Python.,4,74,123,python,False,29-170,4,502824,,https://stepik.org/media/attachments/lesson/502824/additional_files.json,"[881, 882, 883, 884]",https://hyperskill.org/projects/170,"{'29': {'level': 'nightmare', 'kind': 'graduate'}}"
