id,children,depth,followers,has_steps,hierarchy,prerequisites,progress_id,root_id,root_title,title,topological_index,is_deprecated,theory,root_subgroup_title,parent_id,verification_step,url
1162,"[1165, 1167, 962, 1164, 1166, 1163, 610]",0,[],False,[],"[1165, 1167, 962, 1164, 1166, 1163, 610]",2-1162,1162,Computer science,Computer science,1667,False,,,,,https://hyperskill.org/topics/1162
525,"[1221, 1062, 1925, 1003, 1927, 1923, 1922, 1924, 987, 1220]",0,[],False,[],"[1221, 1062, 1925, 1003, 1927, 1923, 1922, 1924, 987, 1220]",2-525,525,Math,Math,1699,False,,,,,https://hyperskill.org/topics/525
1165,[351],1,[1162],False,[1162],[351],2-1165,1162,Computer science,Desktop,619,False,,,1162,,https://hyperskill.org/topics/1165
1167,[456],1,[1162],False,[1162],[456],2-1167,1162,Computer science,Mobile,1482,False,,,1162,,https://hyperskill.org/topics/1167
962,"[907, 1169, 1168]",1,[1162],False,[1162],"[907, 1169, 1168]",2-962,1162,Computer science,Data science,1569,False,,,1162,,https://hyperskill.org/topics/962
1221,"[1771, 1844, 822]",1,[525],False,[525],"[1771, 1844, 822]",2-1221,525,Math,Probability,1607,False,,,525,,https://hyperskill.org/topics/1221
1062,"[1064, 1078, 1374, 1101, 1063]",1,[525],False,[525],"[1064, 1078, 1374, 1101, 1063]",2-1062,525,Math,Statistics,1609,False,,,525,,https://hyperskill.org/topics/1062
1164,"[620, 737, 209, 331, 1492, 73]",1,[1162],False,[1162],"[620, 737, 209, 331, 1492, 73]",2-1164,1162,Computer science,Programming languages,1617,False,,,1162,,https://hyperskill.org/topics/1164
1166,"[458, 446, 1941, 1863]",1,[1162],False,[1162],"[458, 446, 1941, 1863]",2-1166,1162,Computer science,Backend,1628,False,,,1162,,https://hyperskill.org/topics/1166
1163,"[126, 520, 1514, 258, 521, 357]",1,[1162],False,[1162],"[126, 520, 1514, 258, 521, 357]",2-1163,1162,Computer science,Fundamentals,1661,False,,,1162,,https://hyperskill.org/topics/1163
610,"[540, 588]",1,[1162],False,[1162],"[540, 588]",2-610,1162,Computer science,Frontend,1666,False,,,1162,,https://hyperskill.org/topics/610
1925,[1926],1,[525],False,[525],[1926],2-1925,525,Math,Cryptography,1674,False,,,525,,https://hyperskill.org/topics/1925
1003,"[1372, 1541, 1002, 1542, 1084]",1,[525],False,[525],"[1372, 1541, 1002, 1542, 1084]",2-1003,525,Math,Analytic geometry,1677,False,,,525,,https://hyperskill.org/topics/1003
1927,"[1175, 361]",1,[525],False,[525],"[1175, 361]",2-1927,525,Math,Computational math,1682,False,,,525,,https://hyperskill.org/topics/1927
1923,"[1141, 1042]",1,[525],False,[525],"[1141, 1042]",2-1923,525,Math,Algebra,1685,False,,,525,,https://hyperskill.org/topics/1923
1922,"[1218, 938, 820]",1,[525],False,[525],"[1218, 938, 820]",2-1922,525,Math,Analysis,1688,False,,,525,,https://hyperskill.org/topics/1922
1924,"[826, 1859, 823]",1,[525],False,[525],"[826, 1859, 823]",2-1924,525,Math,Fundamentals,1691,False,,,525,,https://hyperskill.org/topics/1924
987,"[988, 1402]",1,[525],False,[525],"[988, 1402]",2-987,525,Math,Number theory,1694,False,,,525,,https://hyperskill.org/topics/987
1220,"[1918, 1096]",1,[525],False,[525],"[1918, 1096]",2-1220,525,Math,Discrete math,1698,False,,,525,,https://hyperskill.org/topics/1220
1372,[],2,"[1820, 1541, 1002, 1003]",True,"[525, 1003]",[],2-1372,525,Math,Cartesian coordinates,472,False,13114,Analytic geometry,1003,13122,https://hyperskill.org/topics/1372
1218,"[1321, 1324, 1358]",2,[1922],False,"[525, 1922]","[1321, 1324, 1358]",2-1218,525,Math,Differential equations,579,False,,Analysis,1922,,https://hyperskill.org/topics/1218
351,"[352, 452, 483, 499, 1349, 1247, 1145, 997, 470]",2,[1165],False,"[1162, 1165]","[352, 452, 483, 499, 1349, 1247, 1145, 997, 470]",2-351,1162,Computer science,Java Swing,618,False,,Desktop,1165,,https://hyperskill.org/topics/351
1771,"[1546, 1717, 1792]",2,[1221],False,"[525, 1221]","[1546, 1717, 1792]",2-1771,525,Math,Discrete random variables,1241,False,,Probability,1221,,https://hyperskill.org/topics/1771
907,"[978, 909, 956, 970, 1778, 968, 1174, 969, 1054, 1055, 1068]",2,[962],False,"[1162, 962]","[978, 909, 956, 970, 1778, 968, 1174, 969, 1054, 1055, 1068]",2-907,1162,Computer science,NLP,1314,False,,Data science,962,,https://hyperskill.org/topics/907
620,"[901, 761, 1276, 1306, 933, 1241, 1242, 898, 762, 758, 1312]",2,[1164],False,"[1162, 1164]","[901, 761, 1276, 1306, 933, 1241, 1242, 898, 762, 758, 1312]",2-620,1162,Computer science,JavaScript,1357,False,,Programming languages,1164,,https://hyperskill.org/topics/620
737,"[1738, 1898, 1737]",2,[1164],False,"[1162, 1164]","[1738, 1898, 1737]",2-737,1162,Computer science,Scalaᵝ,1379,False,,Programming languages,1164,,https://hyperskill.org/topics/737
1141,"[829, 1852, 1544, 896, 821]",2,[1923],False,"[525, 1923]","[829, 1852, 1544, 896, 821]",2-1141,525,Math,Linear algebra,1430,False,,Algebra,1923,,https://hyperskill.org/topics/1141
826,[726],2,[1924],False,"[525, 1924]",[726],2-826,525,Math,Functions and their properties,1432,False,,Fundamentals,1924,,https://hyperskill.org/topics/826
1844,[1845],2,[1221],False,"[525, 1221]",[1845],2-1844,525,Math,Continuous random variables,1436,False,,Probability,1221,,https://hyperskill.org/topics/1844
209,"[1224, 1250, 436, 1251, 1232]",2,[1164],False,"[1162, 1164]","[1224, 1250, 436, 1251, 1232]",2-209,1162,Computer science,Kotlin,1464,False,,Programming languages,1164,,https://hyperskill.org/topics/209
458,"[1236, 1238, 1237, 1453, 1554, 1435, 1753, 714]",2,[1166],False,"[1162, 1166]","[1236, 1238, 1237, 1453, 1554, 1435, 1753, 714]",2-458,1162,Computer science,Spring Boot,1470,False,,Backend,1166,,https://hyperskill.org/topics/458
